pmid,g1_disease,g1_count,g2_disease,g2_count
PMC4932513,NicotineAbuse,68,NoKnownDisorder,66.0
PMC4986538,CocaineAbuse,100,NoKnownDisorder,100.0
PMC4990879,DrugDependence,20,DrugDependence,20.0
PMC5012952,CannabisAbuse,53,NoKnownDisorder,68.0
PMC5086261,SubstanceDisorder,21,,
PMC5157971,HarmfulUseofKetamine,41,NoKnownDisorder,89.0
PMC5231336,NicotineAbuse,14,NoKnownDisorder,11.0
PMC5344702,CocaineAbuse,26,NoKnownDisorder,26.0
PMC5346346,NicotineAbuse,66,NoKnownDisorder,92.0
PMC5548432,CocaineAbuse,26,,
PMC5833305,CannabisAbuse,30,NoKnownDisorder,30.0
PMC5837898,CocaineAbuse,18,NoKnownDisorder,15.0
PMC5913255,FirstEpisodePsychosis,18,NoKnownDisorder,18.0
PMC6029565,NoKnownDisorder,150,Schizophrenia,150.0
PMC6105009,Schizophrenia,42,NoKnownDisorder,42.0
PMC6120475,OpioidAbuse,18,NoKnownDisorder,20.0
PMC6177312,NondependentAlcoholAbuse,145,,
PMC6215331,NoKnownDisorder,488,,
PMC6258321,Schizophrenia,109,NoKnownDisorder,138.0
PMC6312494,CocaineAbuse,37,NoKnownDisorder,35.0
PMC6392437,Schizophrenia,88,NoKnownDisorder,91.0
PMC6610077,Schizophrenia,24,NoKnownDisorder,16.0
PMC6612476,Schizophrenia,20,NoKnownDisorder,19.0
PMC6641556,CocaineAbuse,25,AlcoholAbuse,24.0
PMC6704377,ChronicSchizophrenia,21,ChronicSchizophrenia,21.0
PMC6905532,NoKnownDisorder,163,Schizophrenia,151.0
PMC6906591,Schizophrenia,48,NoKnownDisorder,43.0
PMC7036030,Schizophrenia,13,NoKnownDisorder,13.0
PMC7057285,OpioidAbuse,19,NoKnownDisorder,20.0
PMC7195812,OpioidAbuse,7,NoKnownDisorder,25.0
